Year,State,FIPS,County_name,State_name,Commodity,Data item,Irrigated,Yield
2008,31,31061,FRANKLIN,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,194
2008,31,31065,FURNAS,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,131
2008,31,31065,FURNAS,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,187
2008,31,31073,GOSPER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,160
2008,31,31073,GOSPER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,186
2008,31,31083,HARLAN,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,160
2008,31,31083,HARLAN,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,194
2008,31,31099,KEARNEY,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,182
2008,31,31099,KEARNEY,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,189
2008,31,31137,PHELPS,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,199
2008,31,31137,PHELPS,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,204
2008,31,31181,WEBSTER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,159
2008,31,31181,WEBSTER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,188
2008,31,31035,CLAY,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,190
2008,31,31035,CLAY,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,199
2008,31,31059,FILLMORE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,180
2008,31,31059,FILLMORE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,191
2008,31,31067,GAGE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,141
2008,31,31067,GAGE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,172
2008,31,31095,JEFFERSON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,161
2008,31,31095,JEFFERSON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,182
2008,31,31097,JOHNSON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,130
2008,31,31097,JOHNSON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,180
2008,31,31127,NEMAHA,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,142
2008,31,31127,NEMAHA,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,192
2008,31,31129,NUCKOLLS,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,164
2008,31,31129,NUCKOLLS,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,194
2008,31,31131,OTOE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,131
2008,31,31131,OTOE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,163
2008,31,31133,PAWNEE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,132
2008,31,31133,PAWNEE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,164
2008,31,31147,RICHARDSON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,141
2008,31,31147,RICHARDSON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,156
2008,31,31151,SALINE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,161
2008,31,31151,SALINE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,190
2008,31,31169,THAYER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,179
2008,31,31169,THAYER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,196
2008,31,31029,CHASE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,176
2008,31,31029,CHASE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,193
2008,31,31057,DUNDY,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,153
2008,31,31057,DUNDY,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,190
2008,31,31063,FRONTIER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,136
2008,31,31063,FRONTIER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,172
2008,31,31085,HAYES,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,158
2008,31,31085,HAYES,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,199
2008,31,31087,HITCHCOCK,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,103
2008,31,31087,HITCHCOCK,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,185
2008,31,31101,KEITH,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,158
2008,31,31101,KEITH,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,188
2008,31,31111,LINCOLN,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,166
2008,31,31111,LINCOLN,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,181
2008,31,31135,PERKINS,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,148
2008,31,31135,PERKINS,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,193
2008,31,31145,RED WILLOW,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,139
2008,31,31145,RED WILLOW,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,187
